Description,Sampling,Randomness,Response,Metabolism,Replicates,Folder,Date,Task_ID
main_dataset,Binary,0,I,Sparse,10,data,2018-03-20,1
niche_overlap_diverse,Binary,0,I,Sparse,10,data,2018-03-20,2
niche_overlap_syntrophy,Binary,0,I,Sparse,10,data,2018-03-20,3
niche_overlap_energy,Binary,0,I,Sparse,10,data,2018-03-23,1
beta_diversity,Binary,0,I,Sparse,200,data,2018-03-20,4
beta_diversity_dense,Binary,0,I,Dense,200,data,2018-05-07,
type_II,Binary,0,II,Sparse,10,data,2018-04-11,1
dense_metabolism,Binary,0,I,Dense,10,data,2018-04-10,2
Gaussian_sampling,Gaussian,0,I,Sparse,10,data,2018-05-29,3
randomness,Binary,1,I,Sparse,10,data,2018-04-10,4
filtering_diverse,Binary,0,I,Sparse,10,data,2018-05-08,
filtering_energy_limited,Binary,0,I,Sparse,10,data,2018-05-11,
Gamma_sampling,Gamma,0,I,Sparse,10,data,2018-05-29,4
S_300,Binary,0,I,Sparse,10,data,2018-07-09,5
S_400,Binary,0,I,Sparse,10,data,2018-07-09,6
S_500,Binary,0,I,Sparse,10,data,2018-07-09,7
S_600,Binary,0,I,Sparse,10,data,2018-07-09,8
M_500,Binary,0,I,Sparse,10,data,2018-08-13,2
